LcmsUnit,UnitLongDesc,InstrLvl,Total
X446,Arturo A. Schomburg Satellite Academy Bronx,4,4370184.88
X452,Bronx Guild,4,7270656.76
X455,Harry S Truman High School,4,38354573.47
X456,Alfred E. Smith Campus YABC,4,4250442.27
X473,Mott Haven Village Preparatory High School,4,7608870.76
X477,Marble Hill High School for International Studies,4,8897222.24
X478,The Cinema School,4,5859015.2
X479,Bronx Career and College Preparatory High School,4,7848868.94
X480,Bronx Regional High School,4,5147353.81
X490,Phoenix Academy,4,5489288.22
X495,University Heights Secondary School,4,7916787.44
X500,Hostos-Lincoln Academy of Science,4,10271092.11
X503,Walton Yabc,4,4181504.65
X504,Kennedy Yabc,4,3485117.11
X505,"Bronx School for Law, Government and Justice",4,15787448.39
X507,Stevenson Yabc,4,2944229.62
X508,Bronxdale High School,4,8516826.43
X509,High School of Language and Innovation,4,7796233.72
X511,Bronx Envision Academy,4,7295054.68
X513,New World High School,4,8080336.05
X514,The Bronxwood Preparatory Academy,4,8331419.06
X517,Frederick Douglass Academy III Secondary School,4,8028739.6
X519,Felisa Rincon de Gautier Institute for Law and Public Policy,4,7715533.62
X520,Foreign Language Academy of Global Studies,4,5317613.89
X521,The Metropolitan Soundview High School,4,8990710.21
X522,Bronx Design and Construction Academy,4,12850006.17
X524,Crotona International High School,4,7317038.18
X525,Bronx Leadership Academy High School,4,13797541.46
X527,Bronx Leadership Academy II High School,4,10481941.85
X530,Banana Kelly High School,4,7601412.43
X537,Bronx Arena High School,4,5407239.26
X542,Pelham Preparatory Academy,4,9203529.12
X543,High School for Violin and Dance,4,7493775.65
X544,High School for Contemporary Arts,4,9681036.28
X545,Bronx Aerospace High School,4,9634707.97
X546,Bronx Theatre High School,4,9017291.94
X547,New Explorers High School,4,10470413.6
X548,Urban Assembly School for Careers in Sports,4,11319506.72
X549,Discovery High School,4,9410460.72
X550,High School of World Cultures,4,8003135.27
X551,The Urban Assembly Bronx Academy of Letters,4,12430507.34
X557,Mott Haven Community High School,4,6369611.85
X558,Westchester Square Academy,4,7502143.51
X559,School for Tourism and Hospitality,4,6340062.29
X561,Bronx Compass High School,4,6742159.84
X564,Claremont International HS,4,5177424.71
X565,High School for Energy and Technology,4,6977652.84
